Registration Number,Annual Turnover,Cuisine,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Comedy Gigs Rating,Value Deals Rating,Live Sports Rating,Ambience,Lively,Service,Comfortablility,Privacy
21904,20000000,"peruvian,cuban",Gurgaon ,Near Party Hub,23-01-2010,79,Tier A Celebrity,71.3,1,1,0,1,1,2,Bar,Greek,2,0,6,5,5,4,10,8,NA,NA,NA,NA,9,9,5,0,7
21905,10000000,"algerian,belgian",Burdwan,Near Party Hub,27-06-2008,77.12,Not Specific,56.9,1,1,1,1,1,2,Gastro Bar,Arabian,3,0,3,3,5,4,9,9,NA,NA,5,NA,8,6,4,1,4
21906,40000000,"tibetan,greek",Pune,Near Party Hub,07-05-2010,83,Tier A Celebrity,78.8,1,1,1,1,1,1,Bar,Arabian,3,1,6,5,5,4,5,9,5,NA,NA,NA,3,5,5,3,6
21907,17000000,"polish,jewish",Hyderabad,Near Party Hub,14-05-2010,63,Not Specific,60,1,1,0,1,0,2,Bar,Arabian,2,1,3,3,2,2,10,7,3,NA,3,NA,8,6,4,0,4
21908,30000000,"welsh,thai",New Delhi,Near Party Hub,16-04-2007,74,Tier A Celebrity,63,1,1,1,0,0,2,Bar,Arabian,2,0,10,5,4,4,10,9,4,NA,5,NA,6,6,2,3,6
21909,33500000,"polish,jewish",Pune,Near Party Hub,10-05-2010,86.15,Not Specific,83,1,1,1,1,1,2,Bar,Arabian,2,1,5,5,5,5,10,9,6,NA,4,NA,5,9,2,2,6
21910,36500000,"tibetan,greek",Bangalore,Near Business Hub,15-09-2010,89,Tier A Celebrity,88.8,1,1,1,1,1,2,Bar,Arabian,3,0,7,4,6,6,8,9,5,NA,NA,NA,7,9,5,1,7
21911,43500000,"peruvian,cuban",Mysore,Near Party Hub,22-10-2007,69,Not Specific,60.66,1,1,1,0,1,1,Caffee,Arabian,3,0,7,6,5,6,9,10,4,NA,NA,NA,7,8,6,5,8
21912,8000000,"welsh,thai",Bhubaneswar ,Near Business Hub,28-12-2010,75,Tier A Celebrity,73,1,1,1,0,1,2,Bar,Greek,2,0,4,3,4,2,10,NA,NA,NA,NA,NA,9,6,2,3,8
21913,31000000,"tibetan,greek",Greater Noida,Near Party Hub,13-06-2009,81,Tier A Celebrity,79,1,1,0,0,1,2,Bar,Arabian,3,0,1,5,3,5,10,10,4,NA,NA,NA,2,8,4,2,7
21914,18000000,"british,japanese",New Delhi,Near Party Hub,01-10-2010,73.6,Not Specific,66.6,1,1,1,0,1,2,Bar,90's,3,0,5,3,4,5,10,8,4,NA,3,NA,7,9,7,4,7
21915,18000000,"tibetan,greek",Pune,Near Party Hub,19-03-2009,64.53,Not Specific,75,1,1,1,1,1,2,Caffee,Arabian,3,0,1,4,5,3,7,9,4,NA,4,NA,9,9,3,0,9
21916,30000000,"tibetan,greek",Bangalore,Near Party Hub,31-10-2010,73,Tier A Celebrity,65,1,1,1,1,1,2,Bar,Arabian,3,1,4,4,4,3,8,6,4,NA,2,NA,7,8,6,5,9
21917,30000000,"indian,irish",Bangalore,Near Business Hub,07-01-2010,85.6,Tier A Celebrity,65.8,1,1,1,1,1,2,Bar,Arabian,3,0,1,6,4,6,9,10,4,NA,NA,NA,5,8,3,6,8
21918,18000000,"welsh,thai",New Delhi,Near Party Hub,15-09-2011,80,Tier A Celebrity,66.66,0,1,1,1,1,2,Bar,Arabian,2,0,1,5,4,3,6,7,5,NA,3,NA,6,7,1,3,7
21919,14500000,"chinese,salvadorian",Shimla,Near Party Hub,15-03-2009,80,Tier A Celebrity,72,1,1,0,0,0,2,Bar,Greek,2,0,9,5,5,5,9,7,2,3,NA,NA,4,4,5,3,6
21920,45000000,"japanese,thai",Bangalore,Near Business Hub,04-10-2011,89,Tier A Celebrity,82,1,1,1,0,0,1,Bar,Savory,3,0,6,6,6,7,9,9,5,NA,4,NA,8,9,5,0,6
21921,31500000,"tibetan,greek",Pune,Near Party Hub,10-01-2013,,Not Specific,85.57,1,1,0,1,1,2,Bar,Arabian,2,1,7,5,6,7,5,9,6,NA,4,NA,5,8,1,0,9
21922,8000000,"turkish,sapnish",ahmedabad,Near Party Hub,22-05-2011,82.62,Not Specific,76.2,1,1,1,0,0,2,Bar,90's,2,0,6,6,5,5,7,9,4,NA,5,NA,8,7,6,2,8
21923,31000000,"british,japanese",Bangalore,Near Party Hub,28-05-2009,71.5,Not Specific,80.5,0,1,1,0,0,2,Caffee,Arabian,3,0,7,4,5,6,6,10,6,NA,4,NA,9,9,8,1,8
21924,9000000,"turkish,nigerian",Bangalore,Near Business Hub,17-10-2010,88,Not Specific,69.83,1,1,1,1,1,2,Bar,Greek,2,0,4,5,4,4,6,NA,NA,NA,3,NA,6,6,1,2,3
21925,57500000,"indian,irish",Noida,Near Party Hub,11-08-2010,85.4,Tier A Celebrity,76,0,1,1,1,1,2,Bar,Greek,3,0,3,3,4,4,6,8,3,3,NA,NA,7,8,4,6,8
21926,40000000,"indian,irish",Bangalore,Near Party Hub,26-12-2011,89,Tier A Celebrity,83.5,1,1,1,1,1,2,Bar,Nature,3,1,7,7,4,5,5,8,NA,NA,NA,4,6,6,6,0,4
21927,31000000,"tibetan,greek",Gurgaon,Near Party Hub,19-06-2007,70.6,Tier A Celebrity,79.6,1,1,1,1,1,1,Bar,Arabian,3,1,3,4,4,5,9,8,4,NA,NA,NA,9,9,7,3,10
21928,18000000,"tibetan,greek",hyderabad,Near Party Hub,15-10-2005,68,Not Specific,62.8,0,1,0,1,1,2,Bar,Arabian,3,0,6,4,4,4,9,7,3,NA,NA,NA,9,5,7,3,8
21929,50000000,"peruvian,cuban",Bangalore,Near Business Hub,12-11-2008,80,Not Specific,73,1,1,1,1,1,2,Bar,90's,3,0,2,4,5,5,8,10,4,NA,NA,NA,9,8,7,1,8
21930,45000000,"polish,jewish",-1,Near Party Hub,15-09-2011,84,Tier A Celebrity,78.8,0,1,1,1,1,1,Bar,Arabian,2,0,5,7,6,5,6,9,6,NA,6,NA,8,8,7,2,9
21931,12000000,"british,japanese",Bhubaneswar,Near Party Hub,15-06-2009,82,Not Specific,57,1,1,1,1,1,2,Bar,Greek,3,0,4,4,6,4,6,10,NA,2,NA,NA,8,7,5,2,10
21932,36000000,"indian,irish",Hyderabad,Near Business Hub,17-07-2009,77.2,Not Specific,80.3,1,1,1,1,1,2,Bar,90's,2,1,5,4,3,3,7,6,2,NA,NA,NA,5,6,4,3,5
21933,56500000,"british,japanese",Bangalore,Near Party Hub,21-09-2007,75,Tier A Celebrity,68,1,1,1,0,1,2,Bar,90's,3,0,2,6,4,5,6,8,4,3,NA,NA,8,9,5,2,7
21934,32500000,"tibetan,italian",Bangalore,Near Party Hub,21-12-2010,70,Tier A Celebrity,84,1,1,1,0,1,2,Bar,Arabian,3,0,7,6,4,5,6,7,4,NA,3,NA,8,8,5,2,9
21935,6000000,"british,japanese",Nagpur,Near Party Hub,15-10-2008,53.06,Not Specific,60.33,1,1,1,1,1,2,Bar,Greek,3,0,3,4,5,4,9,7,3,2,NA,NA,3,2,2,4,6
21936,30000000,"chinese,salvadorian",Gajiabaad,Near Party Hub,25-08-2010,65,Tier A Celebrity,53,0,1,0,1,1,2,Bar,Petit,2,0,5,2,4,6,5,8,1,NA,NA,3,2,0,2,3,1
21937,32500000,"tibetan,italian",-1,Near Party Hub,10-09-2010,93.4,Tier A Celebrity,89.4,0,1,1,1,0,2,Bar,Greek,3,0,7,6,6,7,5,8,5,NA,NA,NA,3,8,4,4,6
21938,12000000,"chinese,salvadorian",Pune,Near Party Hub,13-10-2008,75.86,Not Specific,70.08,1,1,1,1,1,2,Bar,Nature,1,1,3,3,3,3,7,6,NA,NA,NA,2,5,7,1,2,4
21939,20000000,"indian,irish",Gurgaon,Near Business Hub,24-09-2009,78,Not Specific,71,1,1,1,0,1,2,Caffee,Arabian,4,0,10,4,4,4,10,10,4,NA,4,NA,3,0,1,3,0
21940,40000000,"tibetan,italian",Bangalore,Near Business Hub,01-05-2010,91.84,Not Specific,86.5,1,1,1,1,1,2,Bar,Arabian,3,1,5,6,6,5,7,9,5,NA,NA,NA,6,4,0,5,4
21941,35000000,"british,japanese",Pune,Near Party Hub,18-04-2012,79,Not Specific,76,1,1,1,1,0,2,Bar,90's,2,1,9,4,5,4,5,10,4,NA,4,NA,8,7,4,4,4
21942,61000000,"british,japanese",New Delhi,Near Party Hub,02-06-2011,78.2,Tier A Celebrity,82,0,1,0,1,0,1,Bar,Greek,2,0,3,7,5,5,7,10,4,3,NA,NA,3,4,1,6,3
21943,32500000,"swedish,greek",Mysore,Near Party Hub,27-05-2012,82.5,Not Specific,93.5,0,1,0,1,1,2,Bar,Greek,3,0,5,5,5,5,6,9,4,4,NA,NA,8,7,5,2,7
21944,32500000,"tibetan,greek",Bangalore,Near Party Hub,09-03-2009,76.4,Not Specific,68.8,1,1,1,0,0,2,Bar,Greek,4,1,2,6,6,6,10,NA,5,NA,NA,NA,7,6,2,2,7
21945,15000000,"turkish,sapnish",Jammu,Near Business Hub,20-08-2011,64.8,Tier A Celebrity,75.2,1,1,1,0,0,2,Bar,Greek,2,0,7,4,4,3,9,6,NA,2,NA,NA,8,8,6,5,7
21946,22000000,"tibetan,italian",Chennai,Near Party Hub,02-09-2011,74,Not Specific,62,1,1,1,1,0,2,Bar,Arabian,2,0,8,5,5,5,9,NA,NA,NA,NA,NA,6,3,8,4,6
21947,20000000,"algerian,belgian",Gurgaon,Near Party Hub,23-09-2011,72,Tier A Celebrity,73,1,1,1,1,1,2,Bar,Arabian,2,0,7,5,5,4,9,8,3,NA,3,NA,6,5,1,3,3
21948,24000000,"chinese,salvadorian",Greater Noida,Near Party Hub,12-01-2013,81.33,Tier A Celebrity,77.2,1,1,1,1,1,2,Bar,Nature,2,0,8,4,5,6,10,8,NA,NA,NA,4,2,6,4,5,5
21949,32500000,"tibetan,greek",Pune,Near Business Hub,14-07-2008,83,Not Specific,65,1,1,1,1,1,2,Bar,Greek,3,0,6,3,4,5,6,8,3,NA,NA,NA,7,8,3,5,6
21950,32000000,"tibetan,greek",bangalore,Near Party Hub,19-10-2011,75,Not Specific,71.6,1,1,0,1,1,2,Bar,Arabian,2,0,10,2,4,3,8,10,4,NA,4,NA,9,7,6,0,9
21951,35500000,"peruvian,cuban",Bangalore,Near Party Hub,04-01-2010,62,Tier A Celebrity,63,1,1,0,0,1,2,Bar,Delicio,2,1,4,4,3,4,10,6,4,NA,2,NA,6,6,5,4,4
21952,30000000,"tibetan,greek",Chennai,Near Business Hub,21-10-2009,74.62,Not Specific,70,1,1,1,1,0,2,Bar,Arabian,3,1,7,5,4,3,6,7,3,NA,NA,NA,8,8,7,3,8
21953,18000000,"turkish,sapnish",Jaipur,Near Business Hub,25-07-2010,87,Not Specific,67.23,0,1,1,0,0,2,Bar,Arabian,3,1,6,2,3,3,10,6,NA,NA,NA,NA,7,8,5,8,5
21954,9500000,"tibetan,italian",-1,Near Party Hub,19-03-2006,76.66,Not Specific,64.33,1,1,1,0,1,2,Bar,Nature,3,0,7,6,5,4,10,7,NA,NA,NA,3,5,8,5,2,5
21955,9500000,"welsh,thai",-1,Near Party Hub,24-08-2009,81,Not Specific,71,1,1,0,0,0,2,Bar,Arabian,3,0,5,5,5,5,10,10,4,NA,NA,NA,6,8,7,1,6
21956,14500000,"tibetan,italian",-1,Near Party Hub,18-06-2008,45.33,Not Specific,47.6,0,0,0,1,1,2,Caffee,Arabian,1,0,9,4,5,2,6,7,3,NA,NA,NA,3,6,3,5,4
21957,10000000,"chinese,salvadorian",Pune,Near Party Hub,04-11-2010,69.69,Not Specific,68,1,1,0,0,1,2,Bar,Nature,2,0,2,4,5,4,7,8,NA,NA,NA,3,2,5,4,4,1
21958,4500000,"british,belgian",Trichy,Near Party Hub,09-11-2009,81.6,Not Specific,73.25,1,1,1,1,1,2,Bar,Greek,3,0,7,4,6,4,5,10,NA,4,NA,NA,9,8,5,6,7
21959,40000000,"tibetan,greek",Noida,Near Party Hub,08-01-2010,69,Tier A Celebrity,66,1,1,1,1,1,2,Bar,Greek,2,0,5,5,5,5,6,9,NA,4,NA,NA,5,5,4,1,5
21960,34000000,"welsh,thai",Noida,Near Party Hub,09-02-2007,53,Not Specific,61,1,1,1,1,1,2,Caffee,Arabian,2,0,3,3,3,5,10,7,3,NA,NA,NA,8,5,7,4,7
21961,50500000,"turkish,nigerian",Pune,Near Party Hub,25-02-2009,75.33,Not Specific,74.67,1,1,1,0,1,2,Bar,Arabian,3,0,4,3,4,5,7,10,4,NA,NA,NA,2,8,2,4,5
21962,10500000,"indian,irish",Ghaziabad,Near Party Hub,08-12-2007,74.28,Not Specific,63,1,0,1,1,1,2,Caffee,Arabian,3,0,6,3,5,5,8,9,5,NA,NA,NA,7,6,4,4,8
21963,30000000,"japanese,thai",Pune,Near Party Hub,27-09-2011,90.2,Tier A Celebrity,79.4,1,1,1,0,1,2,Bar,Greek,2,0,7,5,4,4,6,NA,NA,NA,NA,NA,6,7,6,4,5
21964,21000000,"chinese,salvadorian",Shahdol,Near Party Hub,03-08-2006,74.6,Tier A Celebrity,63.6,1,1,1,1,1,2,Bar,Greek,2,1,8,5,4,5,10,10,3,3,NA,NA,8,7,2,6,5
21965,32000000,"peruvian,cuban",Ahmedabad,Near Party Hub,28-04-2011,82.6,Tier A Celebrity,86.6,1,1,1,1,0,2,Bar,English,3,1,5,4,4,3,7,8,4,3,NA,NA,5,8,4,6,5
21966,33000000,"turkish,nigerian",Pune ,Near Business Hub,14-05-2009,74.88,Not Specific,69.88,1,0,1,1,1,2,Caffee,Arabian,3,0,4,3,4,3,6,8,4,NA,NA,NA,2,6,4,6,5
21967,18000000,"chinese,salvadorian",New Delhi,Near Party Hub,26-09-2010,70.2,Tier A Celebrity,73.2,1,1,1,0,0,2,Bar,Greek,3,1,1,3,3,2,7,8,2,NA,NA,NA,7,6,7,3,6
21968,30000000,"british,japanese",Pune,Near Business Hub,08-08-2011,81.6,Tier A Celebrity,81,1,1,1,1,1,2,Bar,Arabian,3,0,3,4,5,5,10,10,4,NA,4,NA,5,8,5,7,7
21969,32500000,"algerian,belgian",Bangalore,Near Party Hub,02-02-2012,91,Tier A Celebrity,87.8,1,1,1,1,1,2,Bar,90's,4,0,6,4,4,7,5,10,4,NA,NA,NA,9,8,8,4,10
21970,10000000,"irish,belgian",Pune,Near Business Hub,01-06-2011,84,Tier A Celebrity,87.83,1,1,1,1,1,2,Bar,90's,3,1,1,5,5,4,5,10,4,NA,NA,NA,9,8,5,1,6
21971,24500000,"british,japanese",Bangalore,Near Business Hub,02-05-2011,83,Not Specific,87,0,1,1,1,1,2,Bar,Arabian,3,1,6,6,5,2,7,9,5,NA,5,NA,9,9,5,1,8
21972,20000000,"welsh,thai",Chennai,Near Party Hub,23-05-2011,,Not Specific,75.5,1,1,1,0,1,2,Bar,90's,2,0,10,3,3,2,10,8,3,NA,3,NA,5,3,5,6,2
21973,60500000,"tibetan,greek",Bangalore,Near Party Hub,31-03-2007,58,Tier A Celebrity,69,0,1,1,1,1,2,Bar,90's,3,0,6,5,5,5,6,10,4,NA,NA,NA,1,8,4,4,4
21974,55500000,"polish,jewish",-1,Near Party Hub,10-01-2008,74.53,Not Specific,84.53,1,1,1,1,1,2,Bar,Arabian,2,1,10,7,5,6,7,9,5,NA,NA,NA,2,8,5,1,6
21975,60000000,"tibetan,greek",Hyderabad,Near Party Hub,27-06-2012,87.3,Not Specific,89.9,0,1,1,1,1,2,Bar,Arabian,2,1,9,5,5,7,7,10,6,NA,4,NA,7,8,5,0,6
21976,20000000,"tibetan,greek",Noida,Near Party Hub,10-02-2010,60,Not Specific,62,1,1,0,1,1,2,Bar,90's,3,0,1,3,4,4,10,10,4,NA,NA,NA,5,7,4,0,6
21977,10500000,"welsh,thai",Bangalore,Near Party Hub,16-11-2008,46.24,Not Specific,52.5,1,1,0,1,0,2,Caffee,Arabian,3,1,4,3,3,2,9,NA,NA,NA,NA,NA,8,7,6,6,7
21978,20500000,"peruvian,cuban",Chennai,Near Party Hub,25-03-2012,60.2,Not Specific,65,0,1,1,1,1,2,Bar,90's,3,0,10,3,3,3,10,7,3,NA,3,NA,6,9,6,4,9
21979,17000000,"chinese,salvadorian",New Delhi,Near Party Hub,21-06-2007,81.8,Tier A Celebrity,71.8,0,1,0,1,1,2,Bar,Greek,2,0,6,4,5,6,9,9,NA,4,NA,NA,3,6,3,4,6
21980,18000000,"tibetan,italian",Pune,Near Party Hub,06-03-2010,80.15,Not Specific,79.83,1,1,1,1,1,2,Bar,Arabian,1,1,9,4,6,4,7,9,5,NA,NA,NA,7,6,4,5,4
21981,36000000,"hawaiian,latvian",New Delhi,Near Party Hub,27-10-2007,72,Tier A Celebrity,59.4,0,1,1,1,1,2,Bar,Greek,3,0,2,4,5,5,6,6,NA,2,NA,NA,4,5,5,3,8
21982,32000000,"indian,irish",Chennai,Near Party Hub,30-10-2010,75.6,Not Specific,74.6,1,1,1,1,1,2,Bar,Greek,3,0,6,4,6,7,5,9,5,4,NA,NA,6,6,2,7,6
21983,250000000,"british,japanese",-1,Near Party Hub,17-09-2003,65,Tier A Celebrity,63,1,1,1,1,1,2,Bar,Greek,2,0,10,5,4,6,10,NA,3,NA,NA,NA,8,8,5,3,4
21984,37000000,"tibetan,greek",Mumbai,Near Party Hub,15-04-2005,81,Tier A Celebrity,77,1,1,1,1,1,1,Bar,Parsi,3,0,1,6,7,7,8,9,5,5,NA,NA,6,8,7,0,8
21985,20000000,"welsh,thai",Hyderabad,Near Party Hub,07-04-2010,90.6,Not Specific,79.3,1,1,0,1,1,2,Bar,Arabian,2,1,2,4,3,4,5,10,5,NA,4,NA,9,9,7,1,9
21986,30000000,"algerian,algerian",New Delhi,Near Party Hub,20-09-2010,77,Tier A Celebrity,67,1,1,1,0,1,2,Bar,Arabian,1,0,1,5,4,3,7,8,4,NA,NA,NA,3,8,4,4,5
21987,44000000,"tibetan,greek",Gurgaon,Near Business Hub,10-10-2008,74.4,Not Specific,69.7,1,1,0,1,1,2,Bar,Greek,3,0,3,4,4,4,8,9,NA,4,NA,NA,8,7,3,3,8
21988,6500000,"british,japanese",Muvattupuzha,Near Party Hub,28-02-2011,74,Tier A Celebrity,84,0,1,1,1,0,2,Bar,Greek,2,0,5,6,5,4,9,7,4,2,NA,NA,4,8,3,3,6
21989,18000000,"british,japanese",Noida,Near Party Hub,27-08-2010,80.6,Tier A Celebrity,74.6,0,1,1,0,1,2,Bar,Arabian,1,0,9,4,4,4,9,7,4,NA,3,NA,7,7,6,7,5
21990,18000000,"swedish,greek",Gurgaon,Near Party Hub,01-02-2008,67,Tier A Celebrity,65,0,1,1,1,1,2,Bar,90's,2,1,7,5,4,4,7,10,4,NA,NA,NA,6,5,4,4,7
21991,32000000,"algerian,belgian",Chennai,Near Party Hub,02-03-2010,75,Tier A Celebrity,67.75,1,1,1,1,1,2,Bar,Arabian,3,0,6,4,2,3,7,9,2,NA,5,NA,5,6,6,3,8
21992,19500000,"tibetan,greek",Mumbai,Near Business Hub,28-03-2010,82,Tier A Celebrity,65.6,1,1,1,1,0,2,Bar,90's,1,0,9,4,4,4,5,10,4,NA,NA,NA,3,8,7,6,6
21993,30000000,"indian,irish",Hyderabad,Near Party Hub,15-10-2010,89,Not Specific,92.5,1,1,1,0,1,2,Bar,Arabian,4,0,7,4,5,6,7,10,4,NA,NA,NA,8,9,6,2,6
21994,24000000,"welsh,thai",-1,Near Party Hub,13-08-2010,81.8,Tier A Celebrity,75,0,1,1,1,1,2,Bar,Arabian,2,0,6,5,3,5,7,9,6,NA,NA,NA,4,5,1,6,5
21995,30000000,"swedish,greek",-1,Near Business Hub,13-12-2010,81,Not Specific,66.3,1,1,1,1,1,2,Bar,Arabian,3,1,9,6,5,4,7,10,4,NA,4,NA,6,9,5,2,6
21996,20000000,"tibetan,greek",Bangalore,Near Party Hub,01-03-2011,85,Not Specific,91,1,1,1,1,0,2,Bar,Greek,3,0,4,4,3,4,6,10,2,3,NA,NA,6,7,7,5,6
21997,65500000,"british,japanese",gurgaon,Near Business Hub,27-08-2011,92.6,Tier A Celebrity,94.6,1,1,1,1,1,1,Bar,Arabian,4,0,8,7,6,6,5,8,6,NA,3,NA,5,6,6,5,6
21998,34500000,"welsh,thai",Navi Mumbai,Near Business Hub,01-02-2009,80.2,Tier A Celebrity,72,1,1,1,1,1,2,Bar,Greek,3,1,6,5,4,5,5,8,NA,3,NA,NA,9,9,7,2,7
21999,21500000,"japanese,thai",Chennai,Near Business Hub,20-09-2010,77.7,Not Specific,85,1,1,1,1,1,2,Bar,Arabian,3,1,5,5,5,4,7,10,4,NA,NA,NA,7,7,5,2,6
22000,35000000,"japanese,thai",Hyderabad,Near Party Hub,25-06-2008,80.2,Tier A Celebrity,77.6,1,1,1,1,1,1,Bar,Greek,3,1,5,5,5,5,5,9,4,4,NA,NA,4,6,6,4,6
22001,31500000,"tibetan,greek",Bangalore,Near Party Hub,17-06-2011,86.8,Tier A Celebrity,63.6,1,1,1,1,1,2,Bar,Arabian,4,0,5,5,4,7,10,9,6,NA,6,NA,7,8,2,6,7
22002,40000000,"algerian,algerian",Noida,Near Party Hub,29-03-2009,80.6,Not Specific,67,1,1,1,1,1,2,Bar,90's,2,0,1,4,4,5,8,10,4,NA,NA,NA,8,7,8,5,6
22003,32500000,"tibetan,greek",Pune,Near Party Hub,28-03-2008,69.6,Tier A Celebrity,68,1,1,1,1,1,1,Gastro Bar,Arabian,3,1,2,5,5,5,9,9,5,NA,NA,NA,4,8,5,4,3
22004,32500000,"tibetan,greek",-1,Near Business Hub,21-05-2009,86.5,Not Specific,93.1,1,1,0,1,0,2,Bar,Arabian,3,1,10,6,6,5,6,10,4,NA,NA,NA,7,6,4,6,5
22005,12000000,"swedish,greek",Kolkata,Near Party Hub,25-10-2008,74.8,Tier A Celebrity,79,0,1,0,1,1,2,Bar,Greek,3,1,7,7,5,3,6,NA,5,NA,NA,NA,6,7,5,4,4
22006,39500000,"british,belgian",Bangalore,Near Party Hub,29-10-2008,86.13,Not Specific,82.5,1,1,1,0,1,2,Bar,Arabian,2,0,9,6,5,5,9,9,5,NA,4,NA,0,3,1,6,4
22007,21500000,"chinese,salvadorian",Noida,Near Party Hub,11-06-2009,81.66,Not Specific,80,1,1,0,1,1,2,Bar,Greek,2,0,5,4,3,4,8,7,NA,3,NA,NA,9,5,5,4,4
22008,35000000,"swedish,greek",Hyderabad,Near Party Hub,19-07-2010,91.3,Not Specific,91.2,1,1,1,1,1,2,Bar,Greek,3,1,9,5,6,8,5,7,3,2,4,NA,6,8,3,2,7
22009,58000000,"algerian,belgian",Noida,Near Party Hub,13-09-2010,88.4,Tier A Celebrity,75.5,1,1,1,1,0,2,Bar,Greek,4,0,5,5,6,5,9,8,4,3,NA,NA,4,3,3,5,5
22010,65000000,"indian,irish",Noida,Near Party Hub,30-08-2003,75,Not Specific,82.5,1,1,1,0,1,1,Bar,Chinese,4,0,2,3,4,5,10,7,1,3,NA,NA,6,6,4,5,6
22011,33500000,"japanese,thai",Bangalore,Near Business Hub,09-06-2011,85,Not Specific,95,1,1,1,1,1,2,Bar,Greek,3,1,7,4,4,6,5,8,4,3,NA,NA,8,8,4,0,6
22012,15000000,"chinese,salvadorian",Greater Noida,Near Party Hub,16-08-2012,71.1,Tier A Celebrity,64.5,1,1,1,0,1,2,Bar,Nature,2,0,4,5,3,3,5,7,NA,NA,NA,3,6,5,4,4,4
22013,38000000,"tibetan,italian",Bangalore,Near Party Hub,06-09-2010,80.4,Tier A Celebrity,92.25,0,1,1,1,1,2,Bar,Carbone,2,1,6,7,6,5,7,NA,5,NA,4,NA,5,6,8,4,7
22014,35000000,"british,japanese",Mangalore,Near Party Hub,31-03-2010,73,Tier A Celebrity,74,1,1,1,0,1,2,Bar,Nature,4,1,3,6,3,4,10,8,NA,NA,NA,3,6,7,5,5,5
22015,6000000,"welsh,thai",Kolkata,Near Party Hub,23-03-2009,73,Not Specific,65,1,1,0,1,0,2,Bar,Arabian,4,1,2,3,5,5,6,9,5,NA,NA,NA,1,0,1,3,0
22016,10500000,"tibetan,greek",Bangalore,Near Party Hub,22-04-2011,85.72,Not Specific,91.58,1,1,1,1,0,2,Bar,Greek,3,0,9,4,4,4,5,7,NA,3,NA,NA,5,7,3,2,5
22017,14000000,"british,japanese",Udaipur,Near Party Hub,04-05-2010,77.2,Tier A Celebrity,71.2,1,1,1,1,1,2,Bar,Arabian,3,0,9,4,4,3,8,6,4,NA,2,NA,7,5,4,4,6
22018,33000000,"tibetan,italian",Bhubaneshwar,Near Party Hub,06-06-2010,89.76,Tier A Celebrity,82,1,1,1,1,1,1,Bar,Greek,3,0,10,5,5,6,10,9,5,NA,NA,NA,8,9,5,2,8
22019,30000000,"turkish,nigerian",New Delhi,Near Party Hub,04-07-2007,57,Not Specific,62,1,1,0,1,0,2,Caffee,Arabian,3,0,6,4,3,4,10,10,4,NA,NA,NA,3,4,4,3,5
22020,12000000,"turkish,nigerian",Noida,Near Party Hub,16-08-2011,67,Not Specific,61,1,1,1,1,1,2,Bar,Greek,2,0,6,5,4,4,8,8,3,3,NA,NA,4,6,5,6,8
22021,25000000,"tibetan,italian",Noida,Near Party Hub,06-09-2011,77,Tier A Celebrity,70,1,1,0,0,1,2,Bar,Greek,2,0,7,5,5,6,7,6,NA,2,NA,NA,6,6,1,3,2
22022,9500000,"japanese,thai",Gurgaon,Near Party Hub,29-05-2007,58,Not Specific,67,0,1,1,1,1,2,Caffee,Arabian,2,0,7,4,4,3,5,8,4,4,NA,NA,7,4,4,6,5
22023,25000000,"chinese,salvadorian",-1,Near Party Hub,19-01-2010,87.4,Tier A Celebrity,75.14,1,1,1,1,1,2,Bar,Greek,4,0,9,6,3,6,10,8,NA,3,NA,NA,6,7,6,1,7
22024,20000000,"cuban,british",Hyderabad,Near Business Hub,16-11-2005,51.36,Not Specific,73.3,1,1,1,1,1,2,Bar,Arabian,2,0,2,3,3,3,7,8,3,NA,NA,NA,5,9,7,2,8
22025,38000000,"british,belgian",Bangalore,Near Business Hub,26-06-2008,83,Tier A Celebrity,74.4,1,1,1,1,0,2,Bar,90's,3,0,5,3,5,4,9,10,4,NA,NA,NA,9,8,6,6,9
22026,39500000,"british,belgian",Chennai,Near Party Hub,26-03-2011,87,Tier A Celebrity,73,1,1,1,1,1,2,Bar,Arabian,2,0,9,6,5,7,9,9,5,NA,NA,NA,5,7,3,1,6
22027,33500000,"japanese,thai",Chennai,Near Party Hub,22-03-2009,75,Tier A Celebrity,62.8,1,1,1,1,1,2,Bar,Greek,2,0,4,4,5,4,6,NA,NA,NA,NA,NA,8,8,6,3,7
22028,28500000,"peruvian,cuban",Pune,Near Party Hub,12-09-2008,74.6,Tier A Celebrity,58,0,1,0,0,1,2,Bar,Arabian,3,0,10,7,5,5,9,10,4,NA,NA,NA,7,10,5,5,8
22029,30000000,"tibetan,greek",Bangalore,Near Party Hub,30-05-2010,83,Tier A Celebrity,70,0,1,1,1,1,2,Bar,Arabian,3,0,7,3,6,6,8,9,6,NA,6,NA,5,7,4,4,7
22030,30000000,"irish,belgian",Bangalore,Near Party Hub,09-09-2011,87,Not Specific,81,1,1,1,1,1,2,Bar,Greek,3,0,3,5,4,5,7,6,4,1,NA,NA,8,6,5,0,3
